user_id ,email          ,delete_at      ,prim
1       ,test01@test.com,               ,true
2       ,test02@test.com,               ,true
3       ,test03@test.com,               ,true
4       ,test04@test.com,               ,true
5       ,test05@test.com,               ,true
6       ,test06@test.com,               ,true
7       ,test07@test.com,               ,true
8       ,test08@test.com,               ,true
9       ,test09@test.com,               ,true
10      ,test10@test.com,               ,true
1       ,test11@test.com,               ,false
2       ,test12@test.com,               ,false
