username    ,password   ,create_at          ,update_at      ,delete_at
erics       ,1324564    ,1994/5/26 10:25    ,               ,
mina        ,156423132  ,1994/5/27 10:25    ,               ,
lisa        ,51351231   ,1995/4/5 22:45     ,               ,
mike        ,121345     ,1995/4/6 22:45     ,               ,
tony        ,21513121   ,1995/4/7 22:45     ,               ,
bill        ,5432158748 ,1995/4/8 22:45     ,               ,
ella        ,5454654    ,1995/4/9 22:45     ,               ,
John        ,1635413541 ,1995/4/10 22:45    ,               ,
gary        ,4654654    ,1995/4/11 22:45    ,               ,
snoopy      ,54621385   ,1995/4/12 22:45    ,               ,
